23259
21-143	Abramów
80-339	Gdañsk
80-340	Gdañsk
80-341	Gdañsk
80-342	Gdañsk
80-343	Gdañsk
80-344	Gdañsk
80-345	Gdañsk
80-346	Gdañsk
80-347	Gdañsk
80-348	Gdañsk
80-349	Gdañsk
80-350	Gdañsk
80-351	Gdañsk
80-352	Gdañsk
80-353	Gdañsk
80-354	Gdañsk
80-355	Gdañsk
80-356	Gdañsk
80-357	Gdañsk
80-358	Gdañsk
80-359	Gdañsk
80-360	Gdañsk
80-361	Gdañsk
80-362	Gdañsk
80-363	Gdañsk
80-364	Gdañsk
80-365	Gdañsk
80-366	Gdañsk
80-367	Gdañsk
80-368	Gdañsk
80-369	Gdañsk
80-373	Gdañsk
80-374	Gdañsk
80-375	Gdañsk
80-376	Gdañsk
80-377	Gdañsk
80-378	Gdañsk
80-379	Gdañsk
80-380	Gdañsk
80-381	Gdañsk
80-382	Gdañsk
80-383	Gdañsk
80-384	Gdañsk
80-385	Gdañsk
80-386	Gdañsk
80-387	Gdañsk
80-388	Gdañsk
80-389	Gdañsk
80-390	Gdañsk
80-391	Gdañsk
80-392	Gdañsk
80-393	Gdañsk
80-394	Gdañsk
80-395	Gdañsk
80-396	Gdañsk
80-397	Gdañsk
80-398	Gdañsk
80-399	Gdañsk
80-401	Gdañsk
80-402	Gdañsk
80-403	Gdañsk
80-404	Gdañsk
80-405	Gdañsk
80-406	Gdañsk
80-407	Gdañsk
80-408	Gdañsk
80-409	Gdañsk
80-410	Gdañsk
80-411	Gdañsk
80-412	Gdañsk
80-413	Gdañsk
80-414	Gdañsk
80-415	Gdañsk
80-416	Gdañsk
80-417	Gdañsk
80-418	Gdañsk
80-419	Gdañsk
80-420	Gdañsk
80-421	Gdañsk
80-422	Gdañsk
80-423	Gdañsk
80-424	Gdañsk
80-425	Gdañsk
80-426	Gdañsk
80-427	Gdañsk
80-430	Gdañsk
80-431	Gdañsk
80-432	Gdañsk
80-433	Gdañsk
80-434	Gdañsk
80-435	Gdañsk
80-437	Gdañsk
80-438	Gdañsk
80-440	Gdañsk
80-441	Gdañsk
80-442	Gdañsk
80-443	Gdañsk
80-444	Gdañsk
80-445	Gdañsk
80-446	Gdañsk
80-447	Gdañsk
80-448	Gdañsk
80-449	Gdañsk
80-450	Gdañsk
80-451	Gdañsk
80-452	Gdañsk
80-453	Gdañsk
80-454	Gdañsk
80-455	Gdañsk
80-456	Gdañsk
80-457	Gdañsk
80-460	Gdañsk
80-461	Gdañsk
80-462	Gdañsk
80-463	Gdañsk
80-464	Gdañsk
80-471	Gdañsk
80-472	Gdañsk
80-473	Gdañsk
80-502	Gdañsk
80-503	Gdañsk
80-504	Gdañsk
80-505	Gdañsk
80-506	Gdañsk
80-507	Gdañsk
80-508	Gdañsk
80-509	Gdañsk
80-510	Gdañsk
80-511	Gdañsk
80-512	Gdañsk
80-513	Gdañsk
80-514	Gdañsk
80-515	Gdañsk
80-516	Gdañsk
80-518	Gdañsk
80-519	Gdañsk
80-520	Gdañsk
80-522	Gdañsk
80-523	Gdañsk
80-524	Gdañsk
80-526	Gdañsk
80-528	Gdañsk
80-529	Gdañsk
80-530	Gdañsk
80-531	Gdañsk
80-532	Gdañsk
80-533	Gdañsk
80-534	Gdañsk
80-535	Gdañsk
80-536	Gdañsk
80-537	Gdañsk
80-538	Gdañsk
80-539	Gdañsk
80-540	Gdañsk
80-541	Gdañsk
80-542	Gdañsk
80-543	Gdañsk
80-544	Gdañsk
80-545	Gdañsk
80-546	Gdañsk
80-547	Gdañsk
80-548	Gdañsk
80-549	Gdañsk
80-550	Gdañsk
80-551	Gdañsk
80-553	Gdañsk
80-554	Gdañsk
80-555	Gdañsk
80-556	Gdañsk
80-557	Gdañsk
80-560	Gdañsk
80-561	Gdañsk
80-562	Gdañsk
80-563	Gdañsk
80-564	Gdañsk
80-601	Gdañsk
80-603	Gdañsk
80-604	Gdañsk
80-605	Gdañsk
80-606	Gdañsk
80-607	Gdañsk
80-608	Gdañsk
80-609	Gdañsk
80-610	Gdañsk
80-611	Gdañsk
80-612	Gdañsk
80-613	Gdañsk
80-614	Gdañsk
80-616	Gdañsk
80-617	Gdañsk
80-618	Gdañsk
80-620	Gdañsk
80-621	Gdañsk
80-622	Gdañsk
80-623	Gdañsk
80-624	Gdañsk
80-625	Gdañsk
80-626	Gdañsk
80-627	Gdañsk
80-628	Gdañsk
80-629	Gdañsk
80-631	Gdañsk
80-632	Gdañsk
80-633	Gdañsk
80-634	Gdañsk
80-635	Gdañsk
80-636	Gdañsk
80-637	Gdañsk
80-638	Gdañsk
80-641	Gdañsk
80-642	Gdañsk
80-643	Gdañsk
80-644	Gdañsk
80-645	Gdañsk
80-646	Gdañsk
80-647	Gdañsk
80-648	Gdañsk
80-651	Gdañsk
80-652	Gdañsk
80-653	Gdañsk
80-654	Gdañsk
80-655	Gdañsk
80-656	Gdañsk
80-658	Gdañsk
80-660	Gdañsk
80-663	Gdañsk
80-665	Gdañsk
80-680	Gdañsk
80-690	Gdañsk
80-691	Gdañsk
80-701	Gdañsk
80-702	Gdañsk
80-703	Gdañsk
80-704	Gdañsk
80-705	Gdañsk
80-706	Gdañsk
80-707	Gdañsk
80-708	Gdañsk
80-711	Gdañsk
80-715	Gdañsk
80-716	Gdañsk
80-718	Gdañsk
80-719	Gdañsk
80-720	Gdañsk
80-721	Gdañsk
80-722	Gdañsk
80-723	Gdañsk
80-724	Gdañsk
80-725	Gdañsk
80-726	Gdañsk
80-727	Gdañsk
80-728	Gdañsk
80-729	Gdañsk
80-730	Gdañsk
80-731	Gdañsk
80-732	Gdañsk
80-733	Gdañsk
80-734	Gdañsk
80-735	Gdañsk
80-736	Gdañsk
80-737	Gdañsk
80-738	Gdañsk
80-739	Gdañsk
80-740	Gdañsk
80-741	Gdañsk
80-742	Gdañsk
80-743	Gdañsk
80-744	Gdañsk
80-746	Gdañsk
80-747	Gdañsk
80-748	Gdañsk
80-750	Gdañsk
80-751	Gdañsk
80-752	Gdañsk
80-753	Gdañsk
80-754	Gdañsk
80-755	Gdañsk
80-756	Gdañsk
80-757	Gdañsk
80-758	Gdañsk
80-759	Gdañsk
80-760	Gdañsk
80-761	Gdañsk
80-762	Gdañsk
80-763	Gdañsk
80-764	Gdañsk
80-765	Gdañsk
80-766	Gdañsk
80-767	Gdañsk
80-768	Gdañsk
80-770	Gdañsk
80-771	Gdañsk
80-772	Gdañsk
80-774	Gdañsk
80-776	Gdañsk
80-777	Gdañsk
80-778	Gdañsk
80-791	Gdañsk
80-792	Gdañsk
80-800	Gdañsk
80-802	Gdañsk
80-803	Gdañsk
80-804	Gdañsk
80-805	Gdañsk
80-806	Gdañsk
80-807	Gdañsk
80-808	Gdañsk
80-809	Gdañsk
80-810	Gdañsk
80-811	Gdañsk
80-812	Gdañsk
80-813	Gdañsk
80-814	Gdañsk
80-815	Gdañsk
80-816	Gdañsk
80-817	Gdañsk
80-818	Gdañsk
80-819	Gdañsk
80-820	Gdañsk
80-821	Gdañsk
80-822	Gdañsk
80-823	Gdañsk
80-824	Gdañsk
80-825	Gdañsk
80-826	Gdañsk
80-827	Gdañsk
80-828	Gdañsk
80-830	Gdañsk
80-831	Gdañsk
80-832	Gdañsk
80-833	Gdañsk
80-834	Gdañsk
80-835	Gdañsk
80-836	Gdañsk
80-837	Gdañsk
80-838	Gdañsk
80-839	Gdañsk
80-840	Gdañsk
80-841	Gdañsk
80-842	Gdañsk
80-843	Gdañsk
80-844	Gdañsk
80-845	Gdañsk
80-846	Gdañsk
80-847	Gdañsk
80-848	Gdañsk
80-849	Gdañsk
80-850	Gdañsk
80-851	Gdañsk
80-852	Gdañsk
80-853	Gdañsk
80-854	Gdañsk
80-855	Gdañsk
80-856	Gdañsk
80-857	Gdañsk
80-858	Gdañsk
80-859	Gdañsk
80-860	Gdañsk
80-861	Gdañsk
80-862	Gdañsk
80-863	Gdañsk
80-864	Gdañsk
80-865	Gdañsk
80-866	Gdañsk
80-867	Gdañsk
80-868	Gdañsk
80-869	Gdañsk
80-870	Gdañsk
80-871	Gdañsk
80-873	Gdañsk
80-874	Gdañsk
80-875	Gdañsk
80-876	Gdañsk
80-877	Gdañsk
80-878	Gdañsk
80-880	Gdañsk
80-881	Gdañsk
80-882	Gdañsk
80-883	Gdañsk
80-884	Gdañsk
80-885	Gdañsk
80-886	Gdañsk
80-887	Gdañsk
80-888	Gdañsk
80-890	Gdañsk
80-891	Gdañsk
80-893	Gdañsk
80-894	Gdañsk
80-895	Gdañsk
80-900	Gdañsk
80-917	Gdañsk
80-921	Gdañsk
80-940	Gdañsk
80-952	Gdañsk
80-953	Gdañsk
80-955	Gdañsk
80-961	Gdañsk
80-962	Gdañsk
80-963	Gdañsk
80-964	Gdañsk
80-980	Gdañsk
81-393	Gdynia
81-383	Gdynia
81-369	Gdynia
81-368	Gdynia
81-366	Gdynia
81-350	Gdynia
81-342	Gdynia
81-341	Gdynia
81-340	Gdynia
81-339	Gdynia
81-337	Gdynia
81-310	Gdynia
81-225	Gdynia
81-184	Gdynia
81-156	Gdynia
81-138	Gdynia
81-127	Gdynia
81-061	Gdynia
81-060	Gdynia
81-035	Gdynia
81-016	Gdynia
81-006	Gdynia
81-004	Gdynia
81-602	Gdynia
81-531	Gdynia
81-506	Gdynia
81-466	Gdynia
81-969	Gdynia
81-000	Gdynia
81-001	Gdynia
81-002	Gdynia
81-003	Gdynia
81-005	Gdynia
81-007	Gdynia
81-008	Gdynia
81-009	Gdynia
81-010	Gdynia
81-012	Gdynia
81-015	Gdynia
81-017	Gdynia
81-018	Gdynia
81-019	Gdynia
81-020	Gdynia
81-021	Gdynia
81-022	Gdynia
81-023	Gdynia
81-024	Gdynia
81-025	Gdynia
81-028	Gdynia
81-029	Gdynia
81-033	Gdynia
81-034	Gdynia
81-036	Gdynia
81-037	Gdynia
81-040	Gdynia
81-041	Gdynia
81-042	Gdynia
81-044	Gdynia
81-045	Gdynia
81-047	Gdynia
81-048	Gdynia
81-049	Gdynia
81-050	Gdynia
81-051	Gdynia
81-052	Gdynia
81-053	Gdynia
81-055	Gdynia
81-056	Gdynia
81-057	Gdynia
81-058	Gdynia
81-059	Gdynia
81-062	Gdynia
81-063	Gdynia
81-064	Gdynia
81-065	Gdynia
81-066	Gdynia
81-068	Gdynia
81-072	Gdynia
81-074	Gdynia
81-075	Gdynia
81-076	Gdynia
81-077	Gdynia
81-078	Gdynia
81-079	Gdynia
81-080	Gdynia
81-081	Gdynia
81-082	Gdynia
81-083	Gdynia
81-084	Gdynia
81-085	Gdynia
81-086	Gdynia
81-087	Gdynia
81-089	Gdynia
81-092	Gdynia
81-094	Gdynia
81-095	Gdynia
81-097	Gdynia
81-100	Gdynia
81-101	Gdynia
81-102	Gdynia
81-103	Gdynia
81-104	Gdynia
81-105	Gdynia
81-106	Gdynia
81-107	Gdynia
81-108	Gdynia
81-109	Gdynia
81-110	Gdynia
81-111	Gdynia
81-112	Gdynia
81-113	Gdynia
81-114	Gdynia
81-115	Gdynia
81-116	Gdynia
81-117	Gdynia
81-118	Gdynia
81-120	Gdynia
81-121	Gdynia
81-122	Gdynia
81-123	Gdynia
81-124	Gdynia
81-125	Gdynia
81-130	Gdynia
81-131	Gdynia
81-132	Gdynia
81-133	Gdynia
81-134	Gdynia
81-136	Gdynia
81-137	Gdynia
81-146	Gdynia
81-147	Gdynia
81-148	Gdynia
81-149	Gdynia
81-150	Gdynia
81-151	Gdynia
81-152	Gdynia
81-153	Gdynia
81-154	Gdynia
81-155	Gdynia
81-157	Gdynia
81-158	Gdynia
81-159	Gdynia
81-160	Gdynia
81-161	Gdynia
81-162	Gdynia
81-163	Gdynia
81-164	Gdynia
81-165	Gdynia
81-166	Gdynia
81-167	Gdynia
81-168	Gdynia
81-169	Gdynia
81-170	Gdynia
81-171	Gdynia
81-172	Gdynia
81-173	Gdynia
81-174	Gdynia
81-175	Gdynia
81-176	Gdynia
81-177	Gdynia
81-178	Gdynia
81-179	Gdynia
81-180	Gdynia
81-181	Gdynia
81-182	Gdynia
81-183	Gdynia
81-185	Gdynia
81-187	Gdynia
81-188	Gdynia
81-189	Gdynia
81-190	Gdynia
81-191	Gdynia
81-192	Gdynia
81-193	Gdynia
81-194	Gdynia
81-195	Gdynia
81-197	Gdynia
81-200	Gdynia
81-201	Gdynia
81-202	Gdynia
81-203	Gdynia
81-204	Gdynia
81-207	Gdynia
81-208	Gdynia
81-209	Gdynia
81-210	Gdynia
81-211	Gdynia
81-212	Gdynia
81-213	Gdynia
81-214	Gdynia
81-215	Gdynia
81-217	Gdynia
81-218	Gdynia
81-219	Gdynia
81-220	Gdynia
81-221	Gdynia
81-222	Gdynia
81-223	Gdynia
81-224	Gdynia
81-226	Gdynia
81-228	Gdynia
81-229	Gdynia
81-230	Gdynia
81-231	Gdynia
81-232	Gdynia
81-233	Gdynia
81-234	Gdynia
81-235	Gdynia
81-236	Gdynia
81-237	Gdynia
81-241	Gdynia
81-242	Gdynia
81-244	Gdynia
81-245	Gdynia
81-249	Gdynia
81-250	Gdynia
81-253	Gdynia
81-254	Gdynia
81-255	Gdynia
81-256	Gdynia
81-257	Gdynia
81-258	Gdynia
81-259	Gdynia
81-260	Gdynia
81-261	Gdynia
81-262	Gdynia
81-263	Gdynia
81-265	Gdynia
81-266	Gdynia
81-267	Gdynia
81-268	Gdynia
81-269	Gdynia
81-270	Gdynia
81-271	Gdynia
81-272	Gdynia
81-273	Gdynia
81-290	Gdynia
81-300	Gdynia
81-301	Gdynia
81-302	Gdynia
81-303	Gdynia
81-304	Gdynia
81-305	Gdynia
81-306	Gdynia
81-308	Gdynia
81-309	Gdynia
81-311	Gdynia
81-312	Gdynia
81-313	Gdynia
81-314	Gdynia
81-315	Gdynia
81-316	Gdynia
81-317	Gdynia
81-319	Gdynia
81-320	Gdynia
81-321	Gdynia
81-322	Gdynia
81-323	Gdynia
81-324	Gdynia
81-325	Gdynia
81-326	Gdynia
81-327	Gdynia
81-328	Gdynia
81-329	Gdynia
81-330	Gdynia
81-331	Gdynia
81-333	Gdynia
81-334	Gdynia
81-335	Gdynia
81-338	Gdynia
81-343	Gdynia
81-344	Gdynia
81-345	Gdynia
81-346	Gdynia
81-347	Gdynia
81-348	Gdynia
81-349	Gdynia
81-351	Gdynia
81-352	Gdynia
81-353	Gdynia
81-354	Gdynia
81-355	Gdynia
81-356	Gdynia
81-357	Gdynia
81-358	Gdynia
81-359	Gdynia
81-361	Gdynia
81-362	Gdynia
81-363	Gdynia
81-364	Gdynia
81-365	Gdynia
81-367	Gdynia
81-370	Gdynia
81-371	Gdynia
81-372	Gdynia
81-373	Gdynia
81-374	Gdynia
81-375	Gdynia
81-376	Gdynia
81-377	Gdynia
81-378	Gdynia
81-379	Gdynia
81-380	Gdynia
81-381	Gdynia
81-382	Gdynia
81-384	Gdynia
81-385	Gdynia
81-386	Gdynia
81-387	Gdynia
81-388	Gdynia
81-389	Gdynia
81-390	Gdynia
81-391	Gdynia
81-392	Gdynia
81-394	Gdynia
81-395	Gdynia
81-396	Gdynia
81-397	Gdynia
81-400	Gdynia
81-401	Gdynia
81-402	Gdynia
81-403	Gdynia
81-404	Gdynia
81-405	Gdynia
81-406	Gdynia
81-407	Gdynia
81-408	Gdynia
81-409	Gdynia
81-410	Gdynia
81-411	Gdynia
81-412	Gdynia
81-413	Gdynia
81-414	Gdynia
81-415	Gdynia
81-416	Gdynia
81-417	Gdynia
81-418	Gdynia
81-420	Gdynia
81-421	Gdynia
81-422	Gdynia
81-423	Gdynia
81-424	Gdynia
81-425	Gdynia
81-426	Gdynia
81-427	Gdynia
81-428	Gdynia
81-429	Gdynia
81-431	Gdynia
81-432	Gdynia
81-433	Gdynia
81-434	Gdynia
81-435	Gdynia
81-436	Gdynia
81-437	Gdynia
81-438	Gdynia
81-439	Gdynia
81-440	Gdynia
81-441	Gdynia
81-442	Gdynia
81-448	Gdynia
81-449	Gdynia
81-450	Gdynia
81-451	Gdynia
81-452	Gdynia
81-453	Gdynia
81-454	Gdynia
81-455	Gdynia
81-456	Gdynia
81-457	Gdynia
81-458	Gdynia
81-459	Gdynia
81-460	Gdynia
81-461	Gdynia
81-462	Gdynia
81-463	Gdynia
81-464	Gdynia
81-465	Gdynia
81-467	Gdynia
81-468	Gdynia
81-469	Gdynia
81-470	Gdynia
81-471	Gdynia
81-472	Gdynia
81-473	Gdynia
81-474	Gdynia
81-475	Gdynia
81-476	Gdynia
81-500	Gdynia
81-501	Gdynia
81-502	Gdynia
81-503	Gdynia
81-504	Gdynia
81-505	Gdynia
81-507	Gdynia
81-508	Gdynia
81-509	Gdynia
81-510	Gdynia
81-511	Gdynia
81-512	Gdynia
81-513	Gdynia
81-514	Gdynia
81-515	Gdynia
81-516	Gdynia
81-517	Gdynia
81-518	Gdynia
81-519	Gdynia
81-520	Gdynia
81-521	Gdynia
81-522	Gdynia
81-523	Gdynia
81-524	Gdynia
81-525	Gdynia
81-526	Gdynia
81-527	Gdynia
81-528	Gdynia
81-529	Gdynia
81-530	Gdynia
81-532	Gdynia
81-533	Gdynia
81-534	Gdynia
81-535	Gdynia
81-536	Gdynia
81-537	Gdynia
81-538	Gdynia
81-539	Gdynia
81-540	Gdynia
81-541	Gdynia
81-542	Gdynia
81-543	Gdynia
81-544	Gdynia
81-545	Gdynia
81-546	Gdynia
81-547	Gdynia
81-548	Gdynia
81-549	Gdynia
81-550	Gdynia
81-551	Gdynia
81-552	Gdynia
81-553	Gdynia
81-554	Gdynia
81-555	Gdynia
81-556	Gdynia
81-557	Gdynia
81-558	Gdynia
81-559	Gdynia
81-560	Gdynia
81-561	Gdynia
81-562	Gdynia
81-570	Gdynia
81-571	Gdynia
81-572	Gdynia
81-573	Gdynia
81-574	Gdynia
81-575	Gdynia
81-576	Gdynia
81-577	Gdynia
81-578	Gdynia
81-580	Gdynia
81-581	Gdynia
81-582	Gdynia
81-583	Gdynia
81-584	Gdynia
81-585	Gdynia
81-586	Gdynia
81-587	Gdynia
81-589	Gdynia
81-590	Gdynia
81-591	Gdynia
81-592	Gdynia
81-593	Gdynia
81-594	Gdynia
81-595	Gdynia
81-596	Gdynia
81-597	Gdynia
81-598	Gdynia
81-601	Gdynia
81-603	Gdynia
81-604	Gdynia
81-605	Gdynia
81-606	Gdynia
81-608	Gdynia
81-609	Gdynia
81-611	Gdynia
81-612	Gdynia
81-613	Gdynia
81-614	Gdynia
81-615	Gdynia
81-616	Gdynia
81-617	Gdynia
81-619	Gdynia
81-620	Gdynia
81-621	Gdynia
81-622	Gdynia
81-623	Gdynia
81-624	Gdynia
81-625	Gdynia
81-626	Gdynia
81-627	Gdynia
81-628	Gdynia
81-629	Gdynia
81-630	Gdynia
81-631	Gdynia
81-632	Gdynia
81-633	Gdynia
81-634	Gdynia
81-635	Gdynia
81-636	Gdynia
81-637	Gdynia
81-638	Gdynia
81-639	Gdynia
81-640	Gdynia
81-641	Gdynia
81-645	Gdynia
81-646	Gdynia
81-647	Gdynia
81-649	Gdynia
81-650	Gdynia
81-651	Gdynia
81-653	Gdynia
81-655	Gdynia
81-656	Gdynia
81-657	Gdynia
81-658	Gdynia
81-659	Gdynia
81-660	Gdynia
81-661	Gdynia
81-900	Gdynia
81-912	Gdynia
81-919	Gdynia
81-963	Gdynia
81-980	Gdynia
32-420	Gdów
16-506	Giby
97-540	Gidle
32-085	Giebu³tów
95-046	Gieczno
26-434	Gielniów
83-022	Giemlice
44-186	Giera³towice
14-107	Gierzwa³d k. Ostródy
14-229	Gier³o¿ Polska
11-036	Gietrzwa³d
34-322	Gilowice
58-217	Gilów
63-308	Giza³ki
14-120	Giêtlewo
96-522	Gi¿yce
11-500	Gi¿ycko
11-501	Gi¿ycko
11-502	Gi¿ycko
11-503	Gi¿ycko
11-504	Gi¿ycko
11-507	Gi¿ycko
11-508	Gi¿ycko
87-522	Gi¿ynek
14-120	Glaznoty
89-300	Glesno
05-408	Glinianka
84-110	Glinki
06-450	Glinojeck
44-100	Gliwice
44-101	Gliwice
44-102	Gliwice
44-103	Gliwice
44-105	Gliwice
44-106	Gliwice
44-107	Gliwice
44-109	Gliwice
44-113	Gliwice
44-114	Gliwice
44-117	Gliwice
44-119	Gliwice
44-121	Gliwice
44-122	Gliwice
44-141	Gliwice
44-151	Gliwice
44-152	Gliwice
44-164	Gliwice - Rzeczyce Œl.
55-042	Gniechowice
83-140	Gniew
37-203	Gniewczyna £añcucka
84-250	Gniewino
88-140	Gniewkowo
58-172	Gniewków
26-920	Gniewoszów
62-200	Gniezno
62-201	Gniezno
62-204	Gniezno
62-205	Gniezno
62-206	Gniezno
62-207	Gniezno
62-210	Gniezno
83-110	Gniszewo
13-200	Gnojenko
39-105	Gnojnica
32-864	Gnojnik
13-200	Gnojno
28-114	Gnojno k. Chmielnika
43-230	Gocza³kowice Zdrój
58-152	Gocza³ków
14-407	Godkowo K. Pas³êka
96-126	Godzianów
66-615	Godziejów
62-872	Godziesze Ma³e
83-209	Godziszewo (Starog.)
43-376	Godziszka k. Bielska Bia³ej
23-302	Godziszów
44-340	Godów
47-320	Gogolin Œl¹ski
59-323	Gogo³owice
38-131	Gogo³ów
66-615	Gola
43-252	Golasowice
36-231	Golcowa
72-410	Golczewo
49-345	Golczowice
49-345	Golczowice
74-312	Golenice
72-100	Goleniów
72-101	Goleniów
72-102	Goleniów
43-440	Goleszów
62-590	Golina n. Wart¹
87-400	Golub-Dobrzyñ
97-545	Gomunice
62-302	Gonice
62-302	Goniczki
19-110	Goni¹dz
23-450	Goraj Lubelski
78-124	Gorawino
32-327	Gorenice
38-300	Gorlice
38-302	Gorlice
38-320	Gorlice
57-521	Gorzanów
62-007	Gorzkie Pole
97-350	Gorzkowice
22-315	Gorzków
39-432	Gorzyce Tarnobrzeskie
44-350	Gorzyce k. Rybnika
88-405	Gorzyce k. ¯nina
66-400	Gorzów Wielkopolski
66-401	Gorzów Wielkopolski
66-403	Gorzów Wielkopolski
66-404	Gorzów Wielkopolski
66-405	Gorzów Wielkopolski
66-406	Gorzów Wielkopolski
66-407	Gorzów Wielkopolski
66-408	Gorzów Wielkopolski
66-410	Gorzów Wielkopolski
66-412	Gorzów Wielkopolski
66-413	Gorzów Wielkopolski
66-414	Gorzów Wielkopolski
66-418	Gorzów Wielkopolski
46-310	Gorzów Œl¹ski
83-311	Gorêczyno
89-520	Gostycyn k. Tucholi
09-500	Gostynin
09-502	Gostynin Kruk
43-176	Gostyñ
63-800	Gostyñ Poznañski
63-814	Gostyñ Poznañski
63-815	Gostyñ Poznañski
56-417	Goszcz K. Sycowa
98-215	Goszczanow
98-215	Goszczanów
05-610	Goszczyn
84-110	Goszczyno
83-115	Goszyn
55-331	Gos³awice k. Œrody Œl¹skiej
89-651	Gotelp
26-225	Gowarczów
83-341	Gowidlino
07-440	Goworowo
68-130	Gozdnica
09-213	Gozdowo
62-300	Gozdowo
62-291	Go³aszewo
09-145	Go³awin
62-130	Go³añcz
72-332	Go³añcz Pomorska
32-075	Go³cza
19-500	Go³dap
19-501	Go³dap
44-341	Go³kowice
33-388	Go³kowice Dolne
83-316	Go³ubie
63-322	Go³uchów
06-420	Go³ymin
24-101	Go³¹b
83-209	Go³êbiewko
83-033	Go³êbiewo
83-033	Go³êbiewo Œrednie
84-241	Goœcicino
64-611	Goœciejewo
23-275	Goœcieradów
88-422	Goœcieszyn k. ¯nina
78-120	Goœcino
47-270	Goœciêcin
97-306	Grabica
78-523	Grabinek
39-217	Grabiny
83-022	Grabiny-Zameczek
83-212	Grabowiec
22-425	Grabowiec k. Hrubieszowa
36-207	Grabownica Starzeñska
14-229	Grabowo
83-212	Grabowo Bobowskie
18-507	Grabowo k. Kolna
63-520	Grabów N. Prosn¹
99-150	Grabów k. £êczycy
26-902	Grabów n. Pilic¹
47-240	Grabówka
64-834	Grabówka
36-207	Grabówka
89-350	Grabówno
49-156	Gracze
19-200	Grajewo
09-166	Gralewo
13-200	Gralewo
62-066	Granowo
49-200	Grodków
13-324	Grodziczno
62-580	Grodziec
09-151	Grodziec k. P³oñska
17-315	Grodzisk K.Siemiatycz
05-826	Grodzisk Mazowiecki
05-825	Grodzisk Nazowiecki
62-065	Grodzisk Wlkp.
63-805	Grodzisko
37-306	Grodzisko Dolne
38-102	Grodzisko k. Strzy¿owa
58-112	Grodziszcze
32-615	Grojec
59-706	Gromadka
89-241	Gromadno k. Szubina
83-047	Gromadzin
33-180	Gromnik
82-335	Gronowo Elbl¹skie
66-615	Gronów
95-073	Grotniki
64-310	Groñsko
64-305	Grudna
39-232	Grudna Dolna
06-460	Grudusk
64-310	Grudzianka
86-300	Grudzi¹dz
86-301	Grudzi¹dz
86-302	Grudzi¹dz
86-304	Grudzi¹dz
86-305	Grudzi¹dz
86-306	Grudzi¹dz
86-308	Grudzi¹dz
86-309	Grudzi¹dz
86-310	Grudzi¹dz
86-311	Grudzi¹dz
86-380	Grudzi¹dz
32-414	Gruszów
33-330	Grybów
72-300	Gryfice
72-301	Gryfice
72-302	Gryfice
74-100	Gryfino
74-101	Gryfino
59-620	Gryfów Œl¹ski
34-444	Grywa³d
64-553	Grzebienisko
05-331	Grzebowilk
14-500	Grzechotki
62-640	Grzegorzew
13-100	Grzegórzki
78-450	Grzmi¹ca
13-200	Grzybiny
78-132	Grzybowo k. Ko³obrzegu
62-300	Grzymys³awice
26-720	Gródek
16-040	Gródek K. Bia³egostoku
07-213	Gródek Rz¹dowy
33-318	Gródek n. Dunajcem
05-600	Grójec
07-110	Grêbków K. Ka³uszyna
59-150	Grêbocice
87-122	Grêbocin
33-260	Grêboszów
39-410	Grêbów
66-620	Gubin
87-522	Gulbiny
62-300	Gulczewko
62-300	Gulczewo
39-208	Gumniska
14-260	Gutowo
62-300	Gutowo
62-862	Guzdek
96-317	Guzów
78-422	Gwda Wielka
38-116	GwoŸnica Górna
06-126	Gzy
62-007	Góra
49-156	Góra
05-530	Góra Kalwaria
05-531	Góra Kalwaria
24-122	Góra Pu³awska
09-431	Góra k. P³ocka
56-200	Góra Œl¹ska
47-154	Góra Œw. Anny
99-122	Góra Œwiêtej Ma³gorzaty
47-316	Góra¿d¿e
05-156	Górki Kampinoskie
39-306	Górki Mieleckie
43-436	Górki Wielkie
26-008	Górno k. Kielc
36-051	Górno k. Rzeszowa
11-220	Górowo I³aweckie
28-412	Góry Piñczowskie
87-320	Górzno k. Brodnicy
08-404	Górzno k. Garwolina
69-113	Górzyca
72-313	Górzyca k. Gryfic
26-634	Gózd k. Radomia
09-530	G¹bin
62-023	G¹dki
88-410	G¹sawa
06-213	G¹sewo
83-133	G¹siorki
13-200	G¹siorowo
06-440	G¹socin
64-707	Gêbice k. Czarnkowa
88-330	Gêbice k. Mogilna
42-360	Gêzyn
38-309	G³adyszów
32-444	G³ogoczów
67-200	G³ogów
67-201	G³ogów
67-202	G³ogów
67-203	G³ogów
67-204	G³ogów
67-205	G³ogów
67-206	G³ogów
67-210	G³ogów
36-060	G³ogów Ma³opolski
48-250	G³ogówek
05-503	G³osków
26-903	G³owaczów
38-455	G³owienka
95-015	G³owno
95-016	G³owno
48-100	G³ubczyce
48-340	G³ucho³azy
96-130	G³uchów
64-316	G³uponie
58-340	G³uszyca
46-134	G³uszyna
76-220	G³ówczyce
09-455	G³ówczyn
62-862	G³ówczyn
36-213	Haczów n. Wis³okiem
37-231	Hadle Szklarskie
17-200	Hajnówka
17-201	Hajnówka
05-074	Halinów
37-123	Handzlówka
22-220	Hanna
37-413	Harasiuki
38-243	Harklowa k. Jas³a
36-067	Harta
22-235	Hañsk
43-419	Ha¿lach
84-150	Hel
26-720	Helenów
57-210	Henryków k. Z¹bkowic Œl¹skich
42-284	Herby
38-604	Hoczew k. Leska
83-312	Hopowo
22-523	Horod³o
37-620	Horyniec
